순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루 실패,볼넷,사구,삼진,병살,장타율,출루율,OPS,실책,희생플라이,희생번트,장타,땅볼,뜬공,땅볼/뜬공,결승타,투구수/타석,추정득점,고의사구,멀티히트,득점권타율,대타타율,볼넷/삼진,순수장타율,GPA,wRC+,wOBA,WAR,BABIP,볼넷비율,삼진비율,RC,SecA
1,전태현,키움,0.231,77,207,182,20,42,5,0,0,47,10,4,0,20,0,59,2,0.258,0.304,0.562,4,2,3,5,37,46,0.80,0,4.45,16.70,0,8,0.282,0.267,0.34,0.027,0.201,54.9,0.275,-0.2,0.336,9.7,28.5,14.4,0.159
1,김건희,키움,0.242,105,344,322,24,78,20,2,3,111,25,2,1,13,0,102,10,0.345,0.270,0.615,5,2,7,25,91,53,1.72,3,3.93,26.30,0,19,0.224,0.200,0.13,0.102,0.208,59.0,0.280,0.3,0.342,3.8,29.7,30.2,0.146
1,장진혁,KT,0.209,86,157,139,19,29,3,1,4,46,19,1,0,13,0,46,1,0.331,0.275,0.606,1,1,4,8,35,30,1.17,3,3.97,14.00,0,5,0.184,0.167,0.28,0.122,0.207,59.3,0.281,0.1,0.278,8.3,29.3,12.7,0.223
1,김태진,키움,0.233,94,304,279,27,65,11,2,5,95,25,1,1,20,0,53,6,0.341,0.281,0.622,9,3,2,18,79,85,0.93,0,3.80,26.60,1,15,0.156,0.214,0.38,0.108,0.212,63.4,0.286,-0.5,0.268,6.6,17.4,27.0,0.179
1,리베라토,한화,0.313,62,273,246,41,77,18,2,10,129,39,1,0,23,0,47,3,0.524,0.366,0.890,3,4,0,30,60,66,0.91,6,3.62,45.70,0,22,0.339,0.000,0.49,0.211,0.296,141.7,0.395,3.1,0.347,8.4,17.2,48.0,0.309
1,장준원,KT,0.207,73,154,140,10,29,3,0,1,35,11,0,0,8,0,27,5,0.250,0.248,0.498,3,1,5,4,57,28,2.04,0,3.62,7.30,0,6,0.182,0.000,0.30,0.043,0.174,27.2,0.236,0.3,0.248,5.2,17.5,8.8,0.100
7,송성문,키움,0.315,144,646,574,103,181,37,4,26,304,90,25,2,68,1,96,6,0.530,0.387,0.917,14,3,0,67,139,161,0.86,8,3.79,114.90,5,53,0.372,0.333,0.71,0.214,0.307,152.6,0.410,9.6,0.341,10.5,14.9,117.9,0.373
7,박주홍,키움,0.226,102,283,248,33,56,11,3,3,82,23,11,1,30,1,72,5,0.331,0.310,0.641,3,2,2,17,57,65,0.88,3,4.18,28.20,0,12,0.219,0.182,0.42,0.105,0.222,75.3,0.303,1.4,0.303,10.6,25.4,25.4,0.266
7,권동진,KT,0.225,123,309,271,34,61,12,3,1,82,25,3,1,30,1,91,8,0.303,0.304,0.607,15,1,6,16,66,54,1.22,1,4.08,24.50,0,12,0.270,0.500,0.33,0.077,0.213,66.3,0.290,1.0,0.333,9.7,29.4,24.8,0.196
7,윤도현,KIA,0.275,40,160,149,24,41,7,2,6,70,17,2,1,8,1,36,1,0.470,0.316,0.786,9,0,2,15,35,37,0.95,1,3.63,21.60,0,12,0.296,0.000,0.22,0.195,0.260,109.9,0.351,-0.1,0.327,5.0,22.5,21.8,0.255
7,박준순,두산,0.284,91,298,282,34,80,11,2,4,107,19,10,2,10,1,56,6,0.379,0.307,0.686,24,3,2,17,82,67,1.22,4,3.33,32.40,1,19,0.246,0.000,0.18,0.096,0.233,82.3,0.313,0.5,0.338,3.4,18.8,33.0,0.160
7,플로리얼,한화,0.271,65,285,258,36,70,18,2,8,116,29,13,3,24,1,65,2,0.450,0.333,0.783,5,2,0,28,56,69,0.81,3,3.86,39.80,2,21,0.222,0.000,0.37,0.178,0.262,111.7,0.353,1.8,0.332,8.4,22.8,38.7,0.310
7,오태곤,SSG,0.201,122,229,194,31,39,6,0,5,60,26,25,8,30,1,59,4,0.309,0.310,0.619,2,1,3,11,53,44,1.20,6,3.85,22.60,0,9,0.196,0.242,0.51,0.108,0.217,71.6,0.298,-0.2,0.260,13.1,25.8,18.5,0.351
7,박계범,두산,0.263,94,198,175,23,46,9,2,1,62,27,3,1,14,1,45,4,0.354,0.319,0.673,9,1,7,12,56,29,1.93,2,3.96,19.50,0,9,0.345,0.300,0.31,0.091,0.232,83.5,0.314,0.2,0.346,7.1,22.7,19.7,0.183
7,김기연,두산,0.247,100,245,219,19,54,9,0,2,69,24,1,0,19,1,44,8,0.315,0.307,0.622,4,2,4,11,72,51,1.41,2,3.57,20.60,0,12,0.228,0.278,0.43,0.068,0.217,68.7,0.294,0.5,0.297,7.8,18.0,21.2,0.160
7,로하스,KT,0.239,95,384,331,48,79,20,0,14,141,43,1,1,48,1,71,9,0.426,0.333,0.759,4,4,0,34,82,103,0.80,11,4.02,48.20,3,18,0.227,0.167,0.68,0.187,0.256,106.5,0.346,1.6,0.260,12.5,18.5,47.2,0.332
7,정보근,롯데,0.186,93,152,129,4,24,4,1,1,33,15,0,0,18,1,39,4,0.256,0.291,0.547,2,0,4,6,40,26,1.54,2,3.86,9.60,1,3,0.293,0.000,0.46,0.070,0.195,51.9,0.270,0.3,0.258,11.8,25.7,9.4,0.209
7,변우혁,KIA,0.218,47,153,142,11,31,7,0,0,38,17,0,0,10,1,47,3,0.268,0.275,0.543,4,0,0,7,28,36,0.78,3,3.95,9.30,0,9,0.311,0.200,0.21,0.049,0.191,44.2,0.260,-0.1,0.326,6.5,30.7,10.3,0.120
